Student Names,Time,Score for 2-Class,Score for 4-Class
xiongjie,00:07,44,26
dongdong,00:14,46,29
fghf,00:14,40,29
bvnvn,00:05,57,23
p,00:06,51,26
p,00:06,51,26
s,00:09,46,25
5,00:13,53,24
5,00:16,52,24
f,00:13,53,26
h,01:58,53,23
push king,00:21,50,27
push king,00:21,50,27
king push,00:09,50,24
Pushkin Feleke,01:12,90,24
jo,00:13,49,25
r,00:07,51,24
Pushkin Feleke,01:37,47,23
Pushhhhhhh,00:22,93,24
a,00:18,50,25
a,00:18,50,25
s,00:03,51,25
s,00:02,55,25
pus,00:09,38,27
piujkfnv,00:25,93,28
puskin,00:14,47,24
Pushkin ,00:18,50,27
